power-profiles-daemon 0.30-1
procps-ng 4.0.6-1
psmisc 23.7-1
purpose 6.24.0-1
python 3.14.3-1
python-attrs 26.1.0-1
python-cairo 1.29.0-2
python-cffi 2.0.0-2
python-cryptography 46.0.5-2
python-dbus 1.4.0-2
python-dbusmock 0.38.1-1
python-distro 1.9.0-4
python-filelock 3.25.2-1
python-gobject 3.54.5-2
python-i3ipc 2.2.1-9
python-packaging 26.0-1
python-pip 26.0.1-1
python-pycparser 3.00-1
python-pycups 2.0.4-4
python-setproctitle 1.3.7-2
python-six 1.17.0-2
python-wheel 0.46.3-1
python-xlib 0.33-6
qca-qt6 2.3.10-5
qpdf 12.3.2-2
qt6-5compat 6.10.2-1
qt6-base 6.10.2-1
qt6-declarative 6.10.2-1
qt6-multimedia 6.10.2-1
qt6-multimedia-ffmpeg 6.10.2-1
qt6-positioning 6.10.2-1
qt6-shadertools 6.10.2-1
qt6-speech 6.10.2-1
qt6-svg 6.10.2-1
qt6-translations 6.10.2-1
qt6-webchannel 6.10.2-1
qt6-webengine 6.10.2-1
raptor 2.0.16-9
rasqal 1:0.9.33-7
rav1e 0.8.1-2
re2 2:2025.11.05-1
readline 8.3.003-1
redland 1:1.0.17-9
ripgrep 15.1.0-2
rofi 2.0.0-1
rubberband 4.0.0-1
run-parts 5.23.2-1
sbc 2.2-1
sdl2-compat 2.32.64-1
sdl3 3.4.2-1
sed 4.9-3
semver 7.7.4-1
serd 0.32.8-1
shaderc 2026.1-2
shadow 4.18.0-1
shared-mime-info 2.4-3
signon-kwallet-extension 25.12.3-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-3
signond 8.61-3
simdjson 1:4.4.1-1
slang 2.3.3-4
smartmontools 7.5-1
snappy 1.2.2-3
sndio 1.10.0-1
solid 6.24.0-1
sonnet 6.24.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
spandsp 0.0.6-7
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.341.0-2
sqlite 3.52.0-1
sratom 0.6.22-1
srt 1.5.4-1
startup-notification 0.12-9
sudo 1.9.17.p2-2
svt-av1 4.0.1-1
system-config-printer 1.5.18-6
systemd 260-1
systemd-libs 260-1
systemd-sysvcompat 260-1
taglib 2.2.1-1
tar 1.35-2
tdb 1.4.15-1
texinfo 7.2-1
threadweaver 6.24.0-1
thunar 4.20.7-1
thunar-archive-plugin 0.6.0-1
tinysparql 3.10.1-2
tpm2-tss 4.1.3-1
tree-sitter 0.25.10-3
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.5.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.8.1-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.24-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
tumbler 4.20.1-1
twolame 0.4.0-4
tzdata 2026a-1
udisks2 2.11.1-2
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.1-1
util-linux 2.41.3-2
util-linux-libs 2.41.3-2
v4l-utils 1.32.0-2
vapoursynth 73-2
vid.stab 1.1.1-2
vim 9.2.0204-1
vim-runtime 9.2.0204-1
vlc-plugin-a52dec 3.0.21-32
vlc-plugin-alsa 3.0.21-32
vlc-plugin-archive 3.0.21-32
vlc-plugin-dav1d 3.0.21-32
vlc-plugin-dbus 3.0.21-32
vlc-plugin-dbus-screensaver 3.0.21-32
vlc-plugin-faad2 3.0.21-32
vlc-plugin-flac 3.0.21-32
vlc-plugin-gnutls 3.0.21-32
vlc-plugin-inflate 3.0.21-32
vlc-plugin-journal 3.0.21-32
vlc-plugin-jpeg 3.0.21-32
vlc-plugin-mpg123 3.0.21-32
vlc-plugin-ogg 3.0.21-32
vlc-plugin-opus 3.0.21-32
vlc-plugin-png 3.0.21-32
vlc-plugin-shout 3.0.21-32
vlc-plugin-speex 3.0.21-32
vlc-plugin-tag 3.0.21-32
vlc-plugin-theora 3.0.21-32
vlc-plugin-twolame 3.0.21-32
vlc-plugin-vorbis 3.0.21-32
vlc-plugin-vpx 3.0.21-32
vlc-plugin-xml 3.0.21-32
vlc-plugins-base 3.0.21-32
vmaf 3.0.0-2
volume_key 0.3.12-12
vulkan-icd-loader 1.4.341.0-1
vulkan-intel 1:26.0.3-1
vulkan-mesa-implicit-layers 1:26.0.3-1
vulkan-nouveau 1:26.0.3-1
vulkan-radeon 1:26.0.3-1
wayland 1.24.0-1
webrtc-audio-processing-1 1.3-5
wget 1.25.0-3
which 2.23-1
wireless_tools 30.pre9-5
wireplumber 0.5.13-1
wpa_supplicant 2:2.11-5
wxwidgets-common 3.2.10-1
wxwidgets-gtk3 3.2.10-1
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xapp 3.2.2-1
xapp-symbolic-icons 1.0.9-1
xbitmaps 1.1.3-2
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-4
xcursor-vanilla-dmz 0.4.5.3-1
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-2
xf86-video-nouveau 1.0.18-1
xfconf 4.20.0-2
xkeyboard-config 2.47-1
xmlsec 1.3.9-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.21-1
xorg-server-common 21.1.21-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.5-1
xorg-xinit 1.4.4-1
xorg-xkbcomp 1.5.0-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorgproto 2025.1-1
xss-lock 0.4.0-1
xterm 407-1
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.2-1
yajl 2.1.0-6
yay 12.5.7-1
yay-debug 12.5.7-1
yyjson 0.12.0-1
zeromq 4.3.5-3
zimg 3.0.6-1
zint 2.16.0-1
zip 3.0-11
zix 0.8.0-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zram-generator 1.2.1-1
zsh 5.9-5
zstd 1.5.7-3
zxing-cpp 3.0.2-1
